Codigo do Investidor,Data de Adesao,Estado Civil,Genero,Profissao,Idade,UF do Investidor,Cidade do Investidor,Pais do Investidor,Situacao da Conta,Operou 12 Meses
2385443,12/09/2017,Solteiro(a),F,EMPRESÁRIO,37,ES,VILA VELHA,BRASIL,D,N
2358408,07/07/2021,Desquitado(a),M,DESENHISTA INDUSTRIAL,33,RJ,RIO DE JANEIRO,BRASIL,A,N
2363963,26/11/2019,Solteiro(a),M,OUTROS,30,MG,VICOSA,BRASIL,D,N
2352009,01/09/2017,Casado(a) com brasileiro(a) nato(a),F,ADMINISTRADOR,54,SP,SAO PAULO,BRASIL,A,S
2364279,29/12/2020,Desquitado(a),M,OUTROS,45,SP,BAURU,BRASIL,A,N
2370619,14/10/2022,Solteiro(a),F,TRABALHADOR AUTÔNOMO,43,SP,GUARULHOS,BRASIL,A,N
2354397,04/09/2017,Desquitado(a),M,APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO),72,BA,SALVADOR,BRASIL,A,S
2364434,14/11/2023,Desquitado(a),M,TRABALHADOR AUTÔNOMO,38,SP,RIBEIRAO PRETO,BRASIL,A,N
2347591,08/05/2023,Solteiro(a),M,BANCARIO E ECONOMIÁRIO,28,SP,MOGI DAS CRUZES,BRASIL,A,N
2367669,06/11/2018,Desquitado(a),M,OUTROS,31,MT,AGUA BOA,BRASIL,A,S
2372964,08/09/2017,Viúvo(a),M,OUTROS,50,SP,SAO PAULO,BRASIL,A,S
2376185,23/06/2022,Solteiro(a),M,MÉDICO,40,RS,PORTO ALEGRE,BRASIL,A,S
2371349,27/06/2023,Desquitado(a),M,MECÂNICO DE MANUTENÇÃO DE VEÍCULOS AUTOMÓVEIS E MÁQUINAS,32,SP,MONTE ALTO,BRASIL,A,N
2275857,26/09/2023,Solteiro(a),M,SERVIDO PÚBLICO ESTADUAL,29,BA,VALENCA,BRASIL,A,N
2296203,05/11/2021,Solteiro(a),F,ARQUITETO,27,SP,SAO PAULO,BRASIL,A,S
2296284,26/07/2019,Solteiro(a),M,PROFESSOR DE ENSINO SUPERIOR,41,SP,SAO PAULO,BRASIL,A,N
2282839,11/08/2017,Solteiro(a),F,ENGENHEIRO,35,RJ,RIO DE JANEIRO,BRASIL,A,S
2298933,05/05/2021,Solteiro(a),M,OUTROS,31,MG,PASSOS,BRASIL,A,N
2273800,30/03/2022,Solteiro(a),F,GERENTE,32,GO,GOIANIA,BRASIL,A,N
2285477,14/08/2017,Desquitado(a),M,"VENDEDOR PRACISTA, REPRESENTANTE COMERCIAL, CAIXEIRO VIAJANTE",56,SP,COTIA,BRASIL,A,S
2289836,22/04/2022,Solteiro(a),M,ADMINISTRADOR,37,SP,DIADEMA,BRASIL,A,N
2274214,08/08/2017,Solteiro(a),M,ADMINISTRADOR,27,PE,RECIFE,BRASIL,A,S
