Codigo do Investidor,Data da Operacao,Tipo Titulo,Vencimento do Titulo,Quantidade,Valor do Titulo,Valor da Operacao,Tipo da Operacao,Canal da Operacao
2667594,27/01/2023,Tesouro Selic,01/03/2026,"0,04","0,00","508,50",C,H
2088749,20/01/2023,Tesouro IPCA+ com Juros Semestrais,15/05/2055,"0,84","3864,47","3246,15",V,H
1094356,23/01/2023,Tesouro Prefixado,01/01/2029,"0,20","484,72","96,94",C,H
215222,02/01/2023,Tesouro Selic,01/03/2025,"1,18","0,00","14894,07",C,H
40609567,04/01/2023,Tesouro IPCA+,15/05/2035,"1,04","1909,62","1986,00",C,H
3485434,26/01/2023,Tesouro Prefixado,01/07/2024,"0,14","840,36","117,65",V,H
47501,04/01/2023,Tesouro Selic,01/03/2025,"0,55","0,00","6949,57",C,H
37193365,30/01/2023,Tesouro Selic,01/03/2026,"0,01","0,00","127,15",V,H
9135367,06/01/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2050,"4,75","3874,49","18403,82",V,H
6994981,04/01/2023,Tesouro Selic,01/03/2025,"0,22","0,00","2779,27",V,H
9636416,11/01/2023,Tesouro Prefixado,01/01/2029,"265,71","489,25","129998,61",C,H
8583936,30/01/2023,Tesouro IPCA+,15/05/2045,"30,41","986,30","29993,38",C,H
14660200,06/01/2023,Tesouro IPCA+,15/08/2026,"6,25","3199,42","19996,37",C,H
1774506,18/01/2023,Tesouro Selic,01/03/2027,"0,20","0,00","2522,95",V,H
15432914,13/01/2023,Tesouro Selic,01/03/2026,"0,04","0,00","505,93",C,H
34022134,12/01/2023,Tesouro Selic,01/03/2025,"0,01","0,00","126,73",V,H
16030193,11/01/2023,Tesouro Selic,01/03/2027,"0,07","0,00","880,84",V,H
9114968,10/01/2023,Tesouro IPCA+,15/05/2035,"1,06","1897,59","2011,44",C,H
15301707,19/01/2023,Tesouro Selic,01/03/2029,"0,02","0,00","251,38",V,H
18783690,06/01/2023,Tesouro IPCA+,15/05/2035,"0,27","1893,43","511,22",C,H
614955,18/01/2023,Tesouro IPCA+,15/05/2029,"0,07","2779,08","194,53",C,H
9655049,19/01/2023,Tesouro Selic,01/03/2026,"1,83","0,00","23191,69",C,H
26809399,19/01/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2032,"0,49","4113,62","2015,67",C,H
1208366,03/01/2023,Tesouro Selic,01/03/2027,"0,16","0,00","2006,66",V,H
3452557,06/01/2023,Tesouro Selic,01/03/2027,"0,04","0,00","502,77",C,H
3390161,06/01/2023,Tesouro Selic,01/03/2027,"0,16","0,00","2011,08",C,H
4010030,25/01/2023,Tesouro IPCA+,15/05/2035,"0,13","1893,19","246,11",C,H
3083679,16/01/2023,Tesouro Prefixado,01/01/2029,"0,21","498,02","104,58",C,H
5190779,20/01/2023,Tesouro Selic,01/03/2025,"0,38","0,00","4830,25",V,H
26614751,30/01/2023,Tesouro IPCA+ com Juros Semestrais,15/05/2055,"0,03","3851,77","115,55",C,H
14868710,06/01/2023,Tesouro Selic,01/03/2025,"0,08","0,00","1011,95",C,H
6483080,12/01/2023,Tesouro Selic,01/03/2025,"0,34","0,00","4308,83",V,H
3109444,05/01/2023,Tesouro Selic,01/03/2027,"0,01","0,00","125,60",C,H
3674256,31/01/2023,Tesouro Selic,01/03/2027,"0,01","0,00","126,77",V,H
36243289,02/01/2023,Tesouro IPCA+,15/05/2045,"0,28","1049,34","293,81",C,H
30113608,10/01/2023,Tesouro Selic,01/03/2026,"0,01","0,00","126,29",C,H
717456,19/01/2023,Tesouro Selic,01/03/2029,"0,04","0,00","503,07",C,H
2717541,24/01/2023,Tesouro Prefixado,01/01/2029,"1,05","481,92","506,01",C,H
3168381,19/01/2023,Tesouro Prefixado,01/01/2026,"42,33","708,65","29997,15",C,H
19204916,19/01/2023,Tesouro Selic,01/03/2026,"0,39","0,00","4942,49",C,H
4607159,10/01/2023,Tesouro IPCA+,15/05/2035,"0,06","1878,74","112,72",V,H
6682574,03/01/2023,Tesouro IPCA+,15/08/2026,"0,27","3204,43","865,19",C,H
58628,12/01/2023,Tesouro IPCA+ com Juros Semestrais,15/05/2055,"0,86","3873,89","3331,54",V,H
768880,30/01/2023,Tesouro Selic,01/03/2029,"0,54","0,00","6815,34",C,H
764344,19/01/2023,Tesouro Prefixado,01/01/2026,"14,61","706,79","10326,20",V,S
10523421,04/01/2023,Tesouro Selic,01/03/2027,"0,01","0,00","125,53",C,H
518782,10/01/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2030,"0,74","4037,23","2987,55",V,S
4460669,05/01/2023,Tesouro Selic,01/03/2027,"0,45","0,00","5650,92",V,H
2598401,04/01/2023,Tesouro Selic,01/03/2027,"0,28","0,00","3514,96",C,H
258589,10/01/2023,Tesouro IPCA+,15/05/2035,"2,79","1864,95","5203,21",V,H
21589453,26/01/2023,Tesouro Selic,01/03/2029,"0,56","0,00","7060,53",C,H
38482147,18/01/2023,Tesouro Prefixado,01/01/2026,"0,05","704,24","35,21",C,H
19704875,02/01/2023,Tesouro Selic,01/03/2027,"0,01","0,00","125,40",C,H
1890795,23/01/2023,Tesouro IPCA+,15/08/2026,"0,09","3250,61","292,55",V,H
40681263,25/01/2023,Tesouro Selic,01/03/2029,"0,01","0,00","126,02",C,H
1967291,19/01/2023,Tesouro Selic,01/03/2027,"0,80","0,00","10097,02",V,H
12537069,20/01/2023,Tesouro Selic,01/03/2029,"0,13","0,00","1635,80",C,H
4970102,10/01/2023,Tesouro Prefixado,01/01/2026,"21,59","694,88","15002,45",C,H
9494868,12/01/2023,Tesouro Prefixado,01/01/2026,"0,05","706,45","35,32",C,H
5712246,05/01/2023,Tesouro IPCA+,15/08/2026,"0,47","3189,54","1499,08",C,H
4742389,23/01/2023,Tesouro Prefixado,01/01/2029,"1,03","484,72","499,26",C,H
4734888,05/01/2023,Tesouro Selic,01/03/2025,"0,02","0,00","252,84",C,H
3367876,16/01/2023,Tesouro IPCA+,15/05/2045,"2,82","1060,34","2990,15",C,H
1085053,06/01/2023,Tesouro Selic,01/03/2023,"0,02","0,00","253,09",V,H
16413452,18/01/2023,Tesouro Prefixado com Juros Semestrais,01/01/2031,"0,03","886,23","26,58",V,H
2591142,03/01/2023,Tesouro Selic,01/03/2025,"0,16","0,00","2020,15",V,H
9185951,26/01/2023,Tesouro IPCA+,15/05/2035,"0,84","1905,18","1600,35",C,H
15230818,12/01/2023,Tesouro Selic,01/03/2026,"0,26","0,00","3286,97",C,H
6544709,13/01/2023,Tesouro Selic,01/09/2024,"0,06","0,00","761,04",V,H
30334691,18/01/2023,Tesouro Selic,01/03/2027,"0,04","0,00","504,58",V,H
8988116,27/01/2023,Tesouro Selic,01/03/2025,"0,15","0,00","1911,57",V,H
31948691,05/01/2023,Tesouro Selic,01/03/2025,"0,16","0,00","2022,43",V,H
55610,06/01/2023,Tesouro Selic,01/03/2025,"2,39","0,00","30225,56",V,H
21052242,10/01/2023,Tesouro Selic,01/09/2024,"0,79","0,00","10005,75",V,H
5282858,12/01/2023,Tesouro Selic,01/03/2025,"1,10","0,00","13940,33",V,H
4794823,09/01/2023,Tesouro Prefixado,01/01/2029,"0,35","480,85","168,29",C,H
4224483,04/01/2023,Tesouro IPCA+,15/08/2026,"0,02","3200,22","64,00",C,H
1315806,05/01/2023,Tesouro Prefixado,01/01/2025,"0,10","780,82","78,08",C,H
18109480,24/01/2023,Tesouro Prefixado com Juros Semestrais,01/01/2033,"0,07","844,97","59,14",C,H
2409020,12/01/2023,Tesouro Selic,01/03/2029,"0,01","0,00","125,39",V,H
3444200,12/01/2023,Tesouro Selic,01/03/2029,"0,01","0,00","125,47",C,H
1644731,13/01/2023,Tesouro Selic,01/03/2026,"1,22","0,00","15431,10",C,H
22981208,02/01/2023,Tesouro IPCA+,15/08/2026,"0,26","3222,89","837,95",C,H
29571029,26/01/2023,Tesouro Selic,01/03/2029,"0,88","0,00","11095,12",C,H
1956954,06/01/2023,Tesouro Selic,01/09/2024,"0,01","0,00","126,52",V,H
38526753,06/01/2023,Tesouro Prefixado,01/01/2029,"0,41","477,59","195,81",V,S
16629440,23/01/2023,Tesouro Selic,01/03/2029,"0,01","0,00","125,89",C,H
2644164,20/01/2023,Tesouro Selic,01/03/2025,"0,44","0,00","5592,96",V,H
527396,23/01/2023,Tesouro Prefixado,01/01/2026,"0,10","702,30","70,23",C,H
12163294,24/01/2023,Tesouro Selic,01/03/2026,"0,94","0,00","11930,79",C,H
40470515,26/01/2023,Tesouro Selic,01/03/2025,"1,57","0,00","19997,62",V,H
1458035,18/01/2023,Tesouro IPCA+ com Juros Semestrais,15/05/2055,"1,25","3961,07","4951,33",C,H
726231,16/01/2023,Tesouro IPCA+,15/05/2029,"0,85","2786,79","2368,77",C,H
41014091,17/01/2023,Tesouro Selic,01/03/2029,"0,02","0,00","251,30",C,H
33072331,09/01/2023,Tesouro IPCA+,15/05/2045,"0,09","1006,33","90,56",C,H
